# Salaire par tranche d'âge, rapporté au salaire moyen de l'année
# source_id: insee_profil_salaire_age
# unite: rapport sans dimension (1,00 = salaire moyen de l'année)
# fiabilite:
#   certifiee (1962-2024, tranches 26-60) : salaire net mensuel en
#             équivalent temps plein, à temps complet, euros constants,
#             recontrôlé par scripts/verifier_donnees.py.
#   certifiee (1996-2024, moins de 26 et plus de 60) : mêmes séries, que
#             l'INSEE ne ventile pas plus tôt sur ces deux bords.
#
# CE QUE CE FICHIER N'EST PAS. Un profil de carrière. Il est AGRÉGÉ :
# il mélange l'effet d'âge et un effet de composition, les jeunes étant
# plus souvent dans les catégories les moins payées. Son écart entre
# les bords vaut 0,46 en 2024, celui des ouvriers 0,24 — le lire comme
# une carrière individuelle surestimerait la progression du double.
# Le modèle ne lui demande que l'ÉVOLUTION de cet écart, qui porte
# l'effet de génération : 1,19 entre 51-60 ans et 26-30 ans en 1962,
# 1,47 en 2000, 1,35 en 2024. La FORME vient de
# profil_salaire_categorie.csv.
#
# Ne pas modifier à la main : les valeurs seraient écrasées au prochain
# scripts/verifier_donnees.py --appliquer.
annee,tranche,salaire_relatif,fiabilite
1996,Y31T40,1.0148,certifiee
1996,Y41T50,1.1573,certifiee
1996,Y51T60,1.2791,certifiee
1996,Y_GT60,1.3731,certifiee
1996,Y_LT26,0.6164,certifiee
1997,Y26T30,0.8404,certifiee
1997,Y31T40,1.0163,certifiee
1997,Y41T50,1.1487,certifiee
1997,Y51T60,1.2774,certifiee
1997,Y_GT60,1.3668,certifiee
1997,Y_LT26,0.6111,certifiee
1998,Y26T30,0.8417,certifiee
1998,Y31T40,1.0190,certifiee
1998,Y41T50,1.1430,certifiee
1998,Y51T60,1.2814,certifiee
1998,Y_GT60,1.3653,certifiee
1998,Y_LT26,0.6103,certifiee
1999,Y26T30,0.8474,certifiee
1999,Y31T40,1.0212,certifiee
1999,Y41T50,1.1363,certifiee
1999,Y51T60,1.2775,certifiee
1999,Y_GT60,1.3763,certifiee
1999,Y_LT26,0.6082,certifiee
2000,Y26T30,0.8608,certifiee
2000,Y31T40,1.0251,certifiee
2000,Y41T50,1.1315,certifiee
2000,Y51T60,1.2691,certifiee
2000,Y_GT60,1.3671,certifiee
2000,Y_LT26,0.6188,certifiee
2001,Y26T30,0.8795,certifiee
2001,Y31T40,1.0290,certifiee
2001,Y41T50,1.1298,certifiee
2001,Y51T60,1.2680,certifiee
2001,Y_GT60,1.5058,certifiee
2001,Y_LT26,0.6562,certifiee
2002,Y26T30,0.8751,certifiee
2002,Y31T40,1.0229,certifiee
2002,Y41T50,1.1245,certifiee
2002,Y51T60,1.2538,certifiee
2002,Y_GT60,1.5683,certifiee
2002,Y_LT26,0.6462,certifiee
2003,Y26T30,0.8732,certifiee
2003,Y31T40,1.0213,certifiee
2003,Y41T50,1.1215,certifiee
2003,Y51T60,1.2427,certifiee
2003,Y_GT60,1.5610,certifiee
2003,Y_LT26,0.6559,certifiee
2004,Y26T30,0.8660,certifiee
2004,Y31T40,1.0185,certifiee
2004,Y41T50,1.1203,certifiee
2004,Y51T60,1.2418,certifiee
2004,Y_GT60,1.6271,certifiee
2004,Y_LT26,0.6569,certifiee
2005,Y26T30,0.8611,certifiee
2005,Y31T40,1.0167,certifiee
2005,Y41T50,1.1202,certifiee
2005,Y51T60,1.2321,certifiee
2005,Y_GT60,1.6568,certifiee
2005,Y_LT26,0.6397,certifiee
2006,Y26T30,0.8583,certifiee
2006,Y31T40,1.0179,certifiee
2006,Y41T50,1.1246,certifiee
2006,Y51T60,1.2316,certifiee
2006,Y_GT60,1.6757,certifiee
2006,Y_LT26,0.6375,certifiee
2007,Y26T30,0.8567,certifiee
2007,Y31T40,1.0204,certifiee
2007,Y41T50,1.1284,certifiee
2007,Y51T60,1.2240,certifiee
2007,Y_GT60,1.6875,certifiee
2007,Y_LT26,0.6398,certifiee
2008,Y26T30,0.8580,certifiee
2008,Y31T40,1.0226,certifiee
2008,Y41T50,1.1295,certifiee
2008,Y51T60,1.2168,certifiee
2008,Y_GT60,1.6494,certifiee
2008,Y_LT26,0.6357,certifiee
2009,Y26T30,0.8610,certifiee
2009,Y31T40,1.0216,certifiee
2009,Y41T50,1.1266,certifiee
2009,Y51T60,1.2055,certifiee
2009,Y_GT60,1.5797,certifiee
2009,Y_LT26,0.6409,certifiee
2010,Y26T30,0.8522,certifiee
2010,Y31T40,1.0172,certifiee
2010,Y41T50,1.1260,certifiee
2010,Y51T60,1.1998,certifiee
2010,Y_GT60,1.5658,certifiee
2010,Y_LT26,0.6283,certifiee
2011,Y26T30,0.8454,certifiee
2011,Y31T40,1.0134,certifiee
2011,Y41T50,1.1294,certifiee
2011,Y51T60,1.1943,certifiee
2011,Y_GT60,1.5277,certifiee
2011,Y_LT26,0.6262,certifiee
2012,Y26T30,0.8407,certifiee
2012,Y31T40,1.0065,certifiee
2012,Y41T50,1.1286,certifiee
2012,Y51T60,1.1893,certifiee
2012,Y_GT60,1.5232,certifiee
2012,Y_LT26,0.6246,certifiee
2013,Y26T30,0.8294,certifiee
2013,Y31T40,0.9958,certifiee
2013,Y41T50,1.1257,certifiee
2013,Y51T60,1.1841,certifiee
2013,Y_GT60,1.5104,certifiee
2013,Y_LT26,0.6084,certifiee
2014,Y26T30,0.8240,certifiee
2014,Y31T40,0.9897,certifiee
2014,Y41T50,1.1263,certifiee
2014,Y51T60,1.1860,certifiee
2014,Y_GT60,1.4983,certifiee
2014,Y_LT26,0.6054,certifiee
2015,Y26T30,0.8191,certifiee
2015,Y31T40,0.9849,certifiee
2015,Y41T50,1.1283,certifiee
2015,Y51T60,1.1896,certifiee
2015,Y_GT60,1.4764,certifiee
2015,Y_LT26,0.6005,certifiee
2016,Y26T30,0.8204,certifiee
2016,Y31T40,0.9811,certifiee
2016,Y41T50,1.1290,certifiee
2016,Y51T60,1.1931,certifiee
2016,Y_GT60,1.4549,certifiee
2016,Y_LT26,0.6002,certifiee
2017,Y26T30,0.8226,certifiee
2017,Y31T40,0.9747,certifiee
2017,Y41T50,1.1237,certifiee
2017,Y51T60,1.1882,certifiee
2017,Y_GT60,1.4383,certifiee
2017,Y_LT26,0.6072,certifiee
2018,Y26T30,0.8230,certifiee
2018,Y31T40,0.9721,certifiee
2018,Y41T50,1.1230,certifiee
2018,Y51T60,1.1807,certifiee
2018,Y_GT60,1.4335,certifiee
2018,Y_LT26,0.6011,certifiee
2019,Y26T30,0.8385,certifiee
2019,Y31T40,0.9786,certifiee
2019,Y41T50,1.1253,certifiee
2019,Y51T60,1.1755,certifiee
2019,Y_GT60,1.3622,certifiee
2019,Y_LT26,0.5972,certifiee
2020,Y26T30,0.8294,certifiee
2020,Y31T40,0.9726,certifiee
2020,Y41T50,1.1297,certifiee
2020,Y51T60,1.1802,certifiee
2020,Y_GT60,1.3813,certifiee
2020,Y_LT26,0.5855,certifiee
2021,Y26T30,0.8446,certifiee
2021,Y31T40,0.9831,certifiee
2021,Y41T50,1.1291,certifiee
2021,Y51T60,1.1765,certifiee
2021,Y_GT60,1.3647,certifiee
2021,Y_LT26,0.5924,certifiee
2022,Y26T30,0.8589,certifiee
2022,Y31T40,0.9928,certifiee
2022,Y41T50,1.1291,certifiee
2022,Y51T60,1.1720,certifiee
2022,Y_GT60,1.3297,certifiee
2022,Y_LT26,0.6037,certifiee
2023,Y26T30,0.8639,certifiee
2023,Y31T40,0.9981,certifiee
2023,Y41T50,1.1259,certifiee
2023,Y51T60,1.1693,certifiee
2023,Y_GT60,1.3069,certifiee
2023,Y_LT26,0.6077,certifiee
2024,Y26T30,0.8645,certifiee
2024,Y31T40,0.9989,certifiee
2024,Y41T50,1.1231,certifiee
2024,Y51T60,1.1693,certifiee
2024,Y_GT60,1.2920,certifiee
2024,Y_LT26,0.6059,certifiee
