# Profil de salaire par âge et par section d'activité, France
# source_id: eurostat_profil_salaire_secteur
# unite: rapport sans dimension (1,00 = moyenne de la section)
# fiabilite:
#   certifiee (2018, 2022) : enquête quadriennale sur la structure des
#             salaires, salaire mensuel brut moyen, recontrôlé par
#             scripts/verifier_donnees.py. La France ne publie que trois
#             tranches d'âge à ce niveau ; 2010 et 2014 ne répondent pas,
#             2006 n'a pas la dimension d'activité.
#
# POURQUOI CETTE SOURCE EXISTE ICI. Les régimes spéciaux portaient le
# profil des employés du privé faute de mieux. La section D est le champ
# des industries électriques et gazières, la section H celui où sont la
# SNCF et la RATP : aucune source FRANÇAISE ne ventile le salaire par âge
# pour ces populations.
#
# CE QU'ELLE N'EST PAS : un profil de carrière. Elle est AGRÉGÉE par
# secteur — aucune source ne croise l'âge, le secteur et la profession,
# vérifié chez Eurostat comme chez l'INSEE. Le modèle ne lui prend qu'un
# RAPPORT de pentes, secteur sur ensemble, ce qui suppose ce rapport
# identique à l'intérieur des catégories et en agrégé. Rien ne le
# démontre, et docs/limites.md le dit.
#
# Ne pas modifier à la main : les valeurs seraient écrasées au prochain
# scripts/verifier_donnees.py --appliquer.
secteur,vague,tranche,salaire_relatif,fiabilite
K-N,2022,Y_GE50,1.1572,certifiee
K-N,2022,Y_LT30,0.7027,certifiee
L,2018,Y30-49,1.0102,certifiee
L,2018,Y_GE50,1.0748,certifiee
L,2018,Y_LT30,0.7405,certifiee
L,2022,Y30-49,1.0338,certifiee
L,2022,Y_GE50,1.1143,certifiee
L,2022,Y_LT30,0.6823,certifiee
M,2018,Y30-49,0.9739,certifiee
M,2018,Y_GE50,1.2472,certifiee
M,2018,Y_LT30,0.6654,certifiee
M,2022,Y30-49,1.0414,certifiee
M,2022,Y_GE50,1.2623,certifiee
M,2022,Y_LT30,0.6351,certifiee
N,2018,Y30-49,1.0157,certifiee
N,2018,Y_GE50,1.0470,certifiee
N,2018,Y_LT30,0.8811,certifiee
N,2022,Y30-49,1.0178,certifiee
N,2022,Y_GE50,1.0624,certifiee
N,2022,Y_LT30,0.8626,certifiee
O,2018,Y30-49,0.9738,certifiee
O,2018,Y_GE50,1.0822,certifiee
O,2018,Y_LT30,0.7375,certifiee
O,2022,Y30-49,0.9865,certifiee
O,2022,Y_GE50,1.0881,certifiee
O,2022,Y_LT30,0.7220,certifiee
O-S,2018,Y30-49,0.9691,certifiee
O-S,2018,Y_GE50,1.1189,certifiee
O-S,2018,Y_LT30,0.7839,certifiee
O-S,2022,Y30-49,0.9844,certifiee
O-S,2022,Y_GE50,1.1268,certifiee
O-S,2022,Y_LT30,0.7343,certifiee
P,2018,Y30-49,0.9471,certifiee
P,2018,Y_GE50,1.1784,certifiee
P,2018,Y_LT30,0.8033,certifiee
P,2022,Y30-49,0.9494,certifiee
P,2022,Y_GE50,1.2005,certifiee
P,2022,Y_LT30,0.6446,certifiee
P-S,2018,Y30-49,0.9665,certifiee
P-S,2018,Y_GE50,1.1473,certifiee
P-S,2018,Y_LT30,0.7925,certifiee
P-S,2022,Y30-49,0.9824,certifiee
P-S,2022,Y_GE50,1.1566,certifiee
P-S,2022,Y_LT30,0.7317,certifiee
Q,2018,Y30-49,0.9681,certifiee
Q,2018,Y_GE50,1.1462,certifiee
Q,2018,Y_LT30,0.7825,certifiee
Q,2022,Y30-49,0.9846,certifiee
Q,2022,Y_GE50,1.1333,certifiee
Q,2022,Y_LT30,0.7805,certifiee
R,2018,Y30-49,0.9635,certifiee
R,2018,Y_GE50,1.1439,certifiee
R,2018,Y_LT30,0.9003,certifiee
R,2022,Y30-49,1.0584,certifiee
R,2022,Y_GE50,1.2425,certifiee
R,2022,Y_LT30,0.7117,certifiee
S,2018,Y30-49,0.9934,certifiee
S,2018,Y_GE50,1.1008,certifiee
S,2018,Y_LT30,0.7885,certifiee
S,2022,Y30-49,1.1224,certifiee
S,2022,Y_GE50,1.0671,certifiee
S,2022,Y_LT30,0.6428,certifiee
