# Qui finance chaque régime : cotisations, État, transferts, et ce
# que personne ne couvre
# source_id: cor_regimes
# unite: part du financement du régime pour l'année, en fraction
# fiabilite:
#   haute (2010-2070) : parts publiées par le COR dans les
#             compléments de son rapport annuel, et recontrôlées par
#             scripts/verifier_donnees.py contre son classeur.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À répondre à une question que structure_ressources_retraite.csv
# ne sait poser que pour le système entier : un scénario qui
# remplace tous les taux par 18 % déplace-t-il une charge vers
# l'ÉTAT ou vers les CAISSES ? La réponse dépend du régime. L'État
# finance 86 % de la fonction publique d'État par sa contribution
# d'équilibre, et 61 % de la SNCF par une subvention ; la CNRACL ne
# reçoit rien de lui et porte un besoin de financement que personne
# ne couvre — 7 % en 2023, 49 % en 2070.
#
# CE QU'IL FAUT SAVOIR AVANT DE S'EN SERVIR
# ------------------------------------------
# 1. LE MILLÉSIME. Ces parts viennent des compléments du rapport de
#    JUIN 2024, seul millésime publié : ni 2025 ni 2026 ne les ont
#    reconduits. Le reste du dépôt tourne sur le COR 2026. Mélanger
#    les deux coudrait deux exercices de projection.
# 2. LES ANNÉES. Six seulement — 2010, 2015, 2023, 2030, 2040, 2050
#    et 2070 selon les régimes — parce que le classeur ne publie
#    cette ventilation qu'à ces dates-là. Ce n'est pas une série
#    annuelle, et interpoler serait inventer.
# 3. LES PARTS NE SOMMENT PAS TOUJOURS À UN. Cent couples (régime,
#    année) sur 134 somment à un à un millième près ; les autres
#    s'en écartent jusqu'à onze pour cent. C'est ce que le classeur
#    publie, et on ne normalise pas.
# 4. LA FONCTION PUBLIQUE D'ÉTAT EST D'UN SEUL TENANT, civils et
#    militaires confondus, là où le reste du dépôt les sépare.
#
# Ne pas modifier ces valeurs à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,regime,poste,part,fiabilite
2010,fonction_publique_etat,contribution_equilibre_etat,0.856758,haute
2010,fonction_publique_etat,cotisations,0.109717,haute
2010,fonction_publique_etat,impots_et_taxes,0.000000,haute
2010,fonction_publique_etat,subventions_equilibre,0.000000,haute
2010,fonction_publique_etat,transferts,0.031470,haute
2010,fspoeie,autres_produits,0.005139,haute
2010,fspoeie,besoin_de_financement,0.000219,haute
2010,fspoeie,compensation_demographique,0.068803,haute
2010,fspoeie,cotisations,0.293973,haute
2010,fspoeie,impots_et_taxes,0.000000,haute
2010,fspoeie,subventions_equilibre,0.632383,haute
2010,fspoeie,transferts,0.014904,haute
2010,ircantec,autres_produits,0.177219,haute
2010,ircantec,besoin_de_financement,0.000000,haute
2010,ircantec,compensation_demographique,0.000000,haute
2010,ircantec,cotisations,0.905820,haute
2010,ircantec,impots_et_taxes,0.000000,haute
2010,ircantec,subventions_equilibre,0.000000,haute
2010,ircantec,transferts,0.024850,haute
2010,msa_exploitants,autres_produits,0.022003,haute
2010,msa_exploitants,besoin_de_financement,0.142556,haute
2010,msa_exploitants,compensation_demographique,0.433305,haute
2010,msa_exploitants,cotisations,0.115175,haute
2010,msa_exploitants,impots_et_taxes,0.239139,haute
2010,msa_exploitants,subventions_equilibre,0.000000,haute
2010,msa_exploitants,transferts,0.047822,haute
2010,msa_exploitants_complementaire,autres_produits,0.048509,haute
2010,msa_exploitants_complementaire,besoin_de_financement,0.000000,haute
2010,msa_exploitants_complementaire,compensation_demographique,0.000000,haute
2010,msa_exploitants_complementaire,cotisations,0.577207,haute
2010,msa_exploitants_complementaire,impots_et_taxes,0.374283,haute
2010,msa_exploitants_complementaire,subventions_equilibre,0.000000,haute
2010,msa_exploitants_complementaire,transferts,0.000000,haute
2010,msa_salaries,autres_produits,0.024979,haute
2010,msa_salaries,besoin_de_financement,0.000000,haute
2010,msa_salaries,compensation_demographique,0.382603,haute
2010,msa_salaries,cotisations,0.353907,haute
2010,msa_salaries,impots_et_taxes,0.100767,haute
2010,msa_salaries,subventions_equilibre,0.000000,haute
2010,msa_salaries,transferts,0.137743,haute
2010,ratp,autres_produits,0.007927,haute
2010,ratp,besoin_de_financement,0.000000,haute
2010,ratp,compensation_demographique,0.000000,haute
2010,ratp,cotisations,0.453308,haute
2010,ratp,impots_et_taxes,0.000000,haute
2010,ratp,subventions_equilibre,0.533536,haute
2010,ratp,transferts,0.000101,haute
2010,rci_complementaire,autres_produits,0.191475,haute
2010,rci_complementaire,besoin_de_financement,0.000000,haute
2010,rci_complementaire,compensation_demographique,0.000000,haute
2010,rci_complementaire,cotisations,0.808113,haute
2010,rci_complementaire,impots_et_taxes,0.000412,haute
2010,rci_complementaire,subventions_equilibre,0.000000,haute
2010,rci_complementaire,transferts,0.000000,haute
2010,sncf,autres_produits,0.000659,haute
2010,sncf,besoin_de_financement,0.000000,haute
2010,sncf,compensation_demographique,0.030597,haute
2010,sncf,cotisations,0.383308,haute
2010,sncf,impots_et_taxes,0.002146,haute
2010,sncf,subventions_equilibre,0.581363,haute
2010,sncf,transferts,0.000087,haute
2023,agirc_arrco,autres_produits,0.023313,haute
2023,agirc_arrco,besoin_de_financement,0.000000,haute
2023,agirc_arrco,compensation_demographique,0.000000,haute
2023,agirc_arrco,cotisations,0.843786,haute
2023,agirc_arrco,impots_et_taxes,0.072218,haute
2023,agirc_arrco,subventions_equilibre,0.000000,haute
2023,agirc_arrco,transferts,0.060683,haute
2023,banque_de_france,autres_produits,0.571590,haute
2023,banque_de_france,besoin_de_financement,0.000000,haute
2023,banque_de_france,compensation_demographique,0.007501,haute
2023,banque_de_france,contribution_equilibre_etat,0.388765,haute
2023,banque_de_france,cotisations,0.028996,haute
2023,banque_de_france,impots_et_taxes,0.000000,haute
2023,banque_de_france,transferts,0.000000,haute
2023,canssm,autres_produits,0.006916,haute
2023,canssm,besoin_de_financement,0.000000,haute
2023,canssm,compensation_demographique,0.164521,haute
2023,canssm,cotisations,0.004973,haute
2023,canssm,impots_et_taxes,0.004462,haute
2023,canssm,subventions_equilibre,0.811090,haute
2023,canssm,transferts,0.007493,haute
2023,cnav,autres_produits,0.015118,haute
2023,cnav,besoin_de_financement,0.008022,haute
2023,cnav,compensation_demographique,0.000065,haute
2023,cnav,cotisations,0.643599,haute
2023,cnav,impots_et_taxes,0.151764,haute
2023,cnav,subventions_equilibre,0.000000,haute
2023,cnav,transferts,0.181433,haute
2023,cnavpl,autres_produits,0.049664,haute
2023,cnavpl,besoin_de_financement,0.000000,haute
2023,cnavpl,compensation_demographique,0.000000,haute
2023,cnavpl,cotisations,0.892893,haute
2023,cnavpl,impots_et_taxes,0.017225,haute
2023,cnavpl,subventions_equilibre,0.000000,haute
2023,cnavpl,transferts,0.040218,haute
2023,cnavpl_complementaire,autres_produits,0.164642,haute
2023,cnavpl_complementaire,besoin_de_financement,0.000000,haute
2023,cnavpl_complementaire,compensation_demographique,0.000000,haute
2023,cnavpl_complementaire,cotisations,0.835358,haute
2023,cnavpl_complementaire,impots_et_taxes,0.000000,haute
2023,cnavpl_complementaire,subventions_equilibre,0.000000,haute
2023,cnavpl_complementaire,transferts,0.000000,haute
2023,cnbf,autres_produits,0.254723,haute
2023,cnbf,besoin_de_financement,0.000000,haute
2023,cnbf,compensation_demographique,0.000000,haute
2023,cnbf,cotisations,0.636421,haute
2023,cnbf,impots_et_taxes,0.108771,haute
2023,cnbf,subventions_equilibre,0.000000,haute
2023,cnbf,transferts,0.000084,haute
2023,cnieg,autres_produits,0.006425,haute
2023,cnieg,besoin_de_financement,0.000000,haute
2023,cnieg,compensation_demographique,0.000000,haute
2023,cnieg,cotisations,0.392404,haute
2023,cnieg,impots_et_taxes,0.198757,haute
2023,cnieg,subventions_equilibre,0.000000,haute
2023,cnieg,transferts,0.402414,haute
2023,cnracl,autres_produits,0.002008,haute
2023,cnracl,besoin_de_financement,0.071395,haute
2023,cnracl,compensation_demographique,0.000000,haute
2023,cnracl,cotisations,0.878714,haute
2023,cnracl,impots_et_taxes,0.001839,haute
2023,cnracl,subventions_equilibre,0.000000,haute
2023,cnracl,transferts,0.022942,haute
2023,crpcen,autres_produits,0.079344,haute
2023,crpcen,besoin_de_financement,0.000000,haute
2023,crpcen,compensation_demographique,0.024834,haute
2023,crpcen,cotisations,0.891659,haute
2023,crpcen,impots_et_taxes,0.004069,haute
2023,crpcen,subventions_equilibre,0.000000,haute
2023,crpcen,transferts,0.000094,haute
2023,crpnpac,autres_produits,0.226780,haute
2023,crpnpac,besoin_de_financement,0.018358,haute
2023,crpnpac,compensation_demographique,0.000000,haute
2023,crpnpac,cotisations,0.754861,haute
2023,crpnpac,impots_et_taxes,0.000000,haute
2023,crpnpac,subventions_equilibre,0.000000,haute
2023,crpnpac,transferts,0.000000,haute
2023,enim,autres_produits,0.017415,haute
2023,enim,besoin_de_financement,0.000000,haute
2023,enim,compensation_demographique,0.067397,haute
2023,enim,cotisations,0.123206,haute
2023,enim,impots_et_taxes,0.035831,haute
2023,enim,subventions_equilibre,0.762598,haute
2023,enim,transferts,0.005384,haute
2023,erafp,autres_produits,0.337745,haute
2023,erafp,besoin_de_financement,0.000000,haute
2023,erafp,compensation_demographique,0.000000,haute
2023,erafp,cotisations,0.662255,haute
2023,erafp,impots_et_taxes,0.000000,haute
2023,erafp,subventions_equilibre,0.000000,haute
2023,erafp,transferts,0.000000,haute
2023,fonction_publique_etat,autres_produits,0.000558,haute
2023,fonction_publique_etat,besoin_de_financement,0.000000,haute
2023,fonction_publique_etat,compensation_demographique,0.009173,haute
2023,fonction_publique_etat,contribution_equilibre_etat,0.860337,haute
2023,fonction_publique_etat,cotisations,0.122008,haute
2023,fonction_publique_etat,impots_et_taxes,0.000000,haute
2023,fonction_publique_etat,subventions_equilibre,0.000000,haute
2023,fonction_publique_etat,transferts,0.007925,haute
2023,fspoeie,autres_produits,0.000701,haute
2023,fspoeie,besoin_de_financement,0.016702,haute
2023,fspoeie,compensation_demographique,0.046383,haute
2023,fspoeie,cotisations,0.157807,haute
2023,fspoeie,impots_et_taxes,0.000000,haute
2023,fspoeie,subventions_equilibre,0.767009,haute
2023,fspoeie,transferts,0.000123,haute
2023,ircantec,autres_produits,0.095336,haute
2023,ircantec,besoin_de_financement,0.000000,haute
2023,ircantec,compensation_demographique,0.000000,haute
2023,ircantec,cotisations,0.816971,haute
2023,ircantec,impots_et_taxes,0.000000,haute
2023,ircantec,subventions_equilibre,0.000000,haute
2023,ircantec,transferts,0.044372,haute
2023,msa_exploitants,autres_produits,0.044252,haute
2023,msa_exploitants,besoin_de_financement,0.000000,haute
2023,msa_exploitants,compensation_demographique,0.357599,haute
2023,msa_exploitants,cotisations,0.194305,haute
2023,msa_exploitants,impots_et_taxes,0.361491,haute
2023,msa_exploitants,subventions_equilibre,0.000000,haute
2023,msa_exploitants,transferts,0.042354,haute
2023,msa_exploitants_complementaire,autres_produits,0.089729,haute
2023,msa_exploitants_complementaire,besoin_de_financement,0.000000,haute
2023,msa_exploitants_complementaire,compensation_demographique,0.000000,haute
2023,msa_exploitants_complementaire,cotisations,0.429124,haute
2023,msa_exploitants_complementaire,impots_et_taxes,0.481147,haute
2023,msa_exploitants_complementaire,subventions_equilibre,0.000000,haute
2023,msa_exploitants_complementaire,transferts,0.000000,haute
2023,msa_salaries,autres_produits,0.027443,haute
2023,msa_salaries,besoin_de_financement,0.000000,haute
2023,msa_salaries,compensation_demographique,0.349182,haute
2023,msa_salaries,cotisations,0.460548,haute
2023,msa_salaries,impots_et_taxes,0.033048,haute
2023,msa_salaries,subventions_equilibre,0.000000,haute
2023,msa_salaries,transferts,0.129779,haute
2023,ratp,autres_produits,0.005212,haute
2023,ratp,besoin_de_financement,0.000000,haute
2023,ratp,compensation_demographique,0.000000,haute
2023,ratp,cotisations,0.391510,haute
2023,ratp,impots_et_taxes,0.000000,haute
2023,ratp,subventions_equilibre,0.608105,haute
2023,ratp,transferts,0.000051,haute
2023,rci_complementaire,autres_produits,0.149050,haute
2023,rci_complementaire,besoin_de_financement,0.000000,haute
2023,rci_complementaire,compensation_demographique,0.000000,haute
2023,rci_complementaire,cotisations,0.845449,haute
2023,rci_complementaire,impots_et_taxes,0.005501,haute
2023,rci_complementaire,subventions_equilibre,0.000000,haute
2023,rci_complementaire,transferts,0.000000,haute
2023,sncf,autres_produits,0.005373,haute
2023,sncf,besoin_de_financement,0.002973,haute
2023,sncf,compensation_demographique,0.012645,haute
2023,sncf,cotisations,0.359911,haute
2023,sncf,impots_et_taxes,0.000034,haute
2023,sncf,subventions_equilibre,0.608433,haute
2023,sncf,transferts,0.003446,haute
2030,agirc_arrco,autres_produits,0.028814,haute
2030,agirc_arrco,besoin_de_financement,0.000000,haute
2030,agirc_arrco,compensation_demographique,0.000000,haute
2030,agirc_arrco,cotisations,0.860121,haute
2030,agirc_arrco,impots_et_taxes,0.065839,haute
2030,agirc_arrco,subventions_equilibre,0.000000,haute
2030,agirc_arrco,transferts,0.045226,haute
2030,banque_de_france,autres_produits,0.474182,haute
2030,banque_de_france,besoin_de_financement,0.000000,haute
2030,banque_de_france,compensation_demographique,0.022159,haute
2030,banque_de_france,contribution_equilibre_etat,0.468624,haute
2030,banque_de_france,cotisations,0.034953,haute
2030,banque_de_france,impots_et_taxes,0.000000,haute
2030,banque_de_france,transferts,0.000000,haute
2030,canssm,autres_produits,0.007083,haute
2030,canssm,besoin_de_financement,0.000000,haute
2030,canssm,compensation_demographique,0.182262,haute
