# Taux de cotisation vieillesse ANNÉE PAR ANNÉE, régime par régime
# source_id: openfisca_cotisations
#
# Les fiches de data/reference/regimes/ portent un taux par période
# législative — une moyenne de dix à vingt-sept ans, écrite comme telle
# dans leurs notes. Le droit a changé ce taux presque chaque année, et
# c'est lui qui alimente le compte notionnel. Le chargeur des fiches
# (CatalogueRegimes) découpe donc chaque période `plafonnee` de ces
# régimes selon cette table, année par année ; la moyenne de la fiche
# ne sert plus qu'aux années que la table ne couvre pas.
#
# mesure :
#   taux_plafonne              : salarié + employeur, sous plafond
#   part_salariale             : fraction du précédent supportée par le salarié
#   taux_deplafonne            : salarié + employeur, sur la totalité du salaire
#   part_salariale_deplafonnee : fraction du précédent supportée par le salarié
#
# Les non-salariés (cancava, organic, rsi) n'ont que les taux : ils
# paient tout, et la fiche le sait (part_salariale : 1). Les cultes
# (R. 382-89 et R. 382-90), Mayotte et Saint-Pierre-et-Miquelon suivent la
# série du régime général, dont leurs fiches recopiaient les moyennes.
#
# Écrit par scripts/verifier_donnees.py --appliquer depuis
# data/brut/openfisca_cotisations.json ; OpenFisca transcrit les
# décrets sans en être le producteur, d'où le niveau `haute`.
regime,annee,mesure,valeur,fiabilite
cavimac,2018,part_salariale,0.446602,haute
cavimac,2018,part_salariale_deplafonnee,0.173913,haute
cavimac,2018,taux_deplafonne,0.023000,haute
cavimac,2018,taux_plafonne,0.154500,haute
cavimac,2019,part_salariale,0.446602,haute
cavimac,2019,part_salariale_deplafonnee,0.173913,haute
cavimac,2019,taux_deplafonne,0.023000,haute
cavimac,2019,taux_plafonne,0.154500,haute
cavimac,2020,part_salariale,0.446602,haute
cavimac,2020,part_salariale_deplafonnee,0.173913,haute
cavimac,2020,taux_deplafonne,0.023000,haute
cavimac,2020,taux_plafonne,0.154500,haute
cavimac,2021,part_salariale,0.446602,haute
cavimac,2021,part_salariale_deplafonnee,0.173913,haute
cavimac,2021,taux_deplafonne,0.023000,haute
cavimac,2021,taux_plafonne,0.154500,haute
cavimac,2022,part_salariale,0.446602,haute
cavimac,2022,part_salariale_deplafonnee,0.173913,haute
cavimac,2022,taux_deplafonne,0.023000,haute
cavimac,2022,taux_plafonne,0.154500,haute
cavimac,2023,part_salariale,0.446602,haute
cavimac,2023,part_salariale_deplafonnee,0.173913,haute
cavimac,2023,taux_deplafonne,0.023000,haute
cavimac,2023,taux_plafonne,0.154500,haute
cavimac,2024,part_salariale,0.446602,haute
cavimac,2024,part_salariale_deplafonnee,0.165289,haute
cavimac,2024,taux_deplafonne,0.024200,haute
cavimac,2024,taux_plafonne,0.154500,haute
cavimac,2025,part_salariale,0.446602,haute
cavimac,2025,part_salariale_deplafonnee,0.165289,haute
cavimac,2025,taux_deplafonne,0.024200,haute
cavimac,2025,taux_plafonne,0.154500,haute
cavimac,2026,part_salariale,0.446602,haute
cavimac,2026,part_salariale_deplafonnee,0.159363,haute
cavimac,2026,taux_deplafonne,0.025100,haute
cavimac,2026,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,1987,part_salariale,0.445946,haute
cps_saint_pierre_et_miquelon,1987,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1987,taux_deplafonne,0.000000,haute
cps_saint_pierre_et_miquelon,1987,taux_plafonne,0.148000,haute
cps_saint_pierre_et_miquelon,1988,part_salariale,0.445946,haute
cps_saint_pierre_et_miquelon,1988,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1988,taux_deplafonne,0.000000,haute
cps_saint_pierre_et_miquelon,1988,taux_plafonne,0.148000,haute
cps_saint_pierre_et_miquelon,1989,part_salariale,0.481013,haute
cps_saint_pierre_et_miquelon,1989,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1989,taux_deplafonne,0.000000,haute
cps_saint_pierre_et_miquelon,1989,taux_plafonne,0.158000,haute
cps_saint_pierre_et_miquelon,1990,part_salariale,0.481013,haute
cps_saint_pierre_et_miquelon,1990,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1990,taux_deplafonne,0.000000,haute
cps_saint_pierre_et_miquelon,1990,taux_plafonne,0.158000,haute
cps_saint_pierre_et_miquelon,1991,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,1991,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1991,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,1991,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,1992,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,1992,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1992,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,1992,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,1993,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,1993,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1993,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,1993,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,1994,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,1994,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1994,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,1994,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,1995,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,1995,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1995,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,1995,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,1996,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,1996,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1996,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,1996,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,1997,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,1997,part_salariale_deplafonnee,0.000000,haute
