# Espérances de vie par VINGTILE de niveau de vie, France hors Mayotte
# source_id: insee_mortalite_niveau_de_vie
# unite: années (valeur) ; euros par mois (niveau_de_vie_mensuel)
# sexe: H | F
# vingtile: 0 = ensemble, 1 = les 5 % les plus modestes … 20 = les 5 % les
#           plus aisés
# mesure: e0 | e60 | e65
# annee: le MILIEU de la période — 2014 pour 2012-2016, 2022 pour 2020-2024
# fiabilite:
#   haute : lu tel quel dans le classeur de l'INSEE par
#           scripts/fetch/insee_mortalite_niveau_de_vie.py, qui contrôle
#           l'espérance « ensemble » contre celle que le dépôt certifie pour
#           l'année centrale. Le producteur publie ces espérances, le dépôt
#           ne les dérive pas ; mais aucune certification ne les recontrôle
#           par un second chemin, d'où `haute` et non `certifiee`.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À l'axe du REVENU de l'action 14 : le diviseur de conversion est une
# espérance de vie de population générale, la même pour tous, et l'INSEE
# mesure ici treize ans d'écart à la naissance entre les hommes les plus
# modestes et les plus aisés, sept ans à 65 ans. Le modèle en tire, par
# vingtile et par sexe, un facteur sur la force de mortalité de la table
# générale (`DonneesMortalite.facteur_population`, populations
# `niveau_de_vie_v01` à `niveau_de_vie_v20`), et un cas type y est rattaché
# par son niveau de salaire (`population_niveau_de_vie`). Seule la période
# 2020-2024 sert au facteur ; 2012-2016 est gardée pour dire la dérive.
#
# CE QU'IL FAUT SAVOIR AVANT DE S'EN SERVIR
# ------------------------------------------
# - Le niveau de vie est celui du MÉNAGE par unité de consommation, revenu
#   disponible, à la date de l'observation — pas un salaire, pas une carrière.
#   Le rattachement d'un cas type par son salaire est une convention écrite,
#   pas une mesure.
# - Les quotients d'avant 20 ans et d'après 96 ans sont estimés par l'INSEE
#   sous une hypothèse d'écart constant (document de travail 2025-24) ; ils
#   ne pèsent guère sur e65.
# - `niveau_de_vie_mensuel` est le niveau de vie mensuel MOYEN du vingtile
#   sur la période, en euros courants ; vide pour l'ensemble.
# recupere_le: 2026-09-20
periode,annee,sexe,vingtile,mesure,valeur,niveau_de_vie_mensuel,fiabilite
2012-2016,2014,H,6,e65,17.57,1215,haute
2012-2016,2014,H,7,e0,77.53,1302,haute
2012-2016,2014,H,7,e60,21.47,1302,haute
2012-2016,2014,H,7,e65,17.83,1302,haute
2012-2016,2014,H,8,e0,78.13,1387,haute
2012-2016,2014,H,8,e60,21.8,1387,haute
2012-2016,2014,H,8,e65,18.07,1387,haute
2012-2016,2014,H,9,e0,78.67,1471,haute
2012-2016,2014,H,9,e60,22.12,1471,haute
2012-2016,2014,H,9,e65,18.3,1471,haute
2012-2016,2014,H,10,e0,79.17,1556,haute
2012-2016,2014,H,10,e60,22.41,1556,haute
2012-2016,2014,H,10,e65,18.52,1556,haute
2012-2016,2014,H,11,e0,79.64,1646,haute
2012-2016,2014,H,11,e60,22.7,1646,haute
2012-2016,2014,H,11,e65,18.74,1646,haute
2012-2016,2014,H,12,e0,80.08,1742,haute
2012-2016,2014,H,12,e60,22.99,1742,haute
2012-2016,2014,H,12,e65,18.96,1742,haute
2012-2016,2014,H,13,e0,80.52,1846,haute
2012-2016,2014,H,13,e60,23.28,1846,haute
2012-2016,2014,H,13,e65,19.18,1846,haute
2012-2016,2014,H,14,e0,80.95,1963,haute
2012-2016,2014,H,14,e60,23.58,1963,haute
2012-2016,2014,H,14,e65,19.42,1963,haute
2012-2016,2014,H,15,e0,81.41,2098,haute
2012-2016,2014,H,15,e60,23.91,2098,haute
2012-2016,2014,H,15,e65,19.69,2098,haute
2012-2016,2014,H,16,e0,81.9,2264,haute
2012-2016,2014,H,16,e60,24.28,2264,haute
2012-2016,2014,H,16,e65,20.0,2264,haute
2012-2016,2014,H,17,e0,82.42,2477,haute
2012-2016,2014,H,17,e60,24.68,2477,haute
2012-2016,2014,H,17,e65,20.35,2477,haute
2012-2016,2014,H,18,e0,83.0,2781,haute
2012-2016,2014,H,18,e60,25.15,2781,haute
2012-2016,2014,H,18,e65,20.76,2781,haute
2012-2016,2014,H,19,e0,83.64,3309,haute
2012-2016,2014,H,19,e60,25.68,3309,haute
2012-2016,2014,H,19,e65,21.25,3309,haute
2012-2016,2014,H,20,e0,84.38,5796,haute
2012-2016,2014,H,20,e60,26.29,5796,haute
2012-2016,2014,H,20,e65,21.82,5796,haute
2020-2024,2022,F,0,e0,85.32,,haute
2020-2024,2022,F,0,e60,27.44,,haute
2020-2024,2022,F,0,e65,23.08,,haute
2020-2024,2022,F,1,e0,80.06,497,haute
2020-2024,2022,F,1,e60,23.94,497,haute
2020-2024,2022,F,1,e65,20.15,497,haute
2020-2024,2022,F,2,e0,80.69,847,haute
2020-2024,2022,F,2,e60,24.37,847,haute
2020-2024,2022,F,2,e65,20.52,847,haute
2020-2024,2022,F,3,e0,81.52,1003,haute
2020-2024,2022,F,3,e60,24.91,1003,haute
2020-2024,2022,F,3,e65,20.97,1003,haute
2020-2024,2022,F,4,e0,82.44,1129,haute
2020-2024,2022,F,4,e60,25.51,1129,haute
2020-2024,2022,F,4,e65,21.47,1129,haute
2020-2024,2022,F,5,e0,83.35,1243,haute
2020-2024,2022,F,5,e60,26.11,1243,haute
2020-2024,2022,F,5,e65,21.96,1243,haute
2020-2024,2022,F,6,e0,84.18,1350,haute
2020-2024,2022,F,6,e60,26.66,1350,haute
2020-2024,2022,F,6,e65,22.41,1350,haute
2020-2024,2022,F,7,e0,84.88,1451,haute
2020-2024,2022,F,7,e60,27.12,1451,haute
2020-2024,2022,F,7,e65,22.79,1451,haute
2020-2024,2022,F,8,e0,85.42,1548,haute
2020-2024,2022,F,8,e60,27.48,1548,haute
2020-2024,2022,F,8,e65,23.09,1548,haute
2020-2024,2022,F,9,e0,85.82,1642,haute
2020-2024,2022,F,9,e60,27.75,1642,haute
2020-2024,2022,F,9,e65,23.32,1642,haute
2020-2024,2022,F,10,e0,86.12,1738,haute
2020-2024,2022,F,10,e60,27.95,1738,haute
2020-2024,2022,F,10,e65,23.49,1738,haute
2020-2024,2022,F,11,e0,86.36,1837,haute
2020-2024,2022,F,11,e60,28.12,1837,haute
2020-2024,2022,F,11,e65,23.62,1837,haute
2020-2024,2022,F,12,e0,86.56,1941,haute
2020-2024,2022,F,12,e60,28.26,1941,haute
2020-2024,2022,F,12,e65,23.74,1941,haute
2020-2024,2022,F,13,e0,86.74,2053,haute
2020-2024,2022,F,13,e60,28.39,2053,haute
2020-2024,2022,F,13,e65,23.85,2053,haute
2020-2024,2022,F,14,e0,86.94,2176,haute
2020-2024,2022,F,14,e60,28.54,2176,haute
2020-2024,2022,F,14,e65,23.97,2176,haute
2020-2024,2022,F,15,e0,87.16,2319,haute
2020-2024,2022,F,15,e60,28.7,2319,haute
2020-2024,2022,F,15,e65,24.12,2319,haute
2020-2024,2022,F,16,e0,87.4,2492,haute
2020-2024,2022,F,16,e60,28.89,2492,haute
2020-2024,2022,F,16,e65,24.28,2492,haute
2020-2024,2022,F,17,e0,87.68,2717,haute
2020-2024,2022,F,17,e60,29.11,2717,haute
2020-2024,2022,F,17,e65,24.47,2717,haute
2020-2024,2022,F,18,e0,87.99,3040,haute
2020-2024,2022,F,18,e60,29.36,3040,haute
2020-2024,2022,F,18,e65,24.69,3040,haute
2020-2024,2022,F,19,e0,88.34,3609,haute
2020-2024,2022,F,19,e60,29.63,3609,haute
2020-2024,2022,F,19,e65,24.94,3609,haute
2020-2024,2022,F,20,e0,88.72,6427,haute
2020-2024,2022,F,20,e60,29.93,6427,haute
2020-2024,2022,F,20,e65,25.22,6427,haute
2020-2024,2022,H,0,e0,79.53,,haute
2020-2024,2022,H,0,e60,23.09,,haute
2020-2024,2022,H,0,e65,19.17,,haute
2020-2024,2022,H,1,e0,71.97,497,haute
2020-2024,2022,H,1,e60,18.27,497,haute
2020-2024,2022,H,1,e65,15.13,497,haute
2020-2024,2022,H,2,e0,72.7,847,haute
2020-2024,2022,H,2,e60,18.52,847,haute
2020-2024,2022,H,2,e65,15.36,847,haute
2020-2024,2022,H,3,e0,73.68,1003,haute
2020-2024,2022,H,3,e60,19.03,1003,haute
2020-2024,2022,H,3,e65,15.8,1003,haute
2020-2024,2022,H,4,e0,74.77,1129,haute
2020-2024,2022,H,4,e60,19.68,1129,haute
2020-2024,2022,H,4,e65,16.35,1129,haute
2020-2024,2022,H,5,e0,75.89,1243,haute
2020-2024,2022,H,5,e60,20.37,1243,haute
2020-2024,2022,H,5,e65,16.92,1243,haute
2020-2024,2022,H,6,e0,76.9,1350,haute
2020-2024,2022,H,6,e60,21.02,1350,haute
2020-2024,2022,H,6,e65,17.45,1350,haute
2020-2024,2022,H,7,e0,77.77,1451,haute
2020-2024,2022,H,7,e60,21.59,1451,haute
2020-2024,2022,H,7,e65,17.9,1451,haute
2020-2024,2022,H,8,e0,78.52,1548,haute
2020-2024,2022,H,8,e60,22.07,1548,haute
2020-2024,2022,H,8,e65,18.29,1548,haute
2020-2024,2022,H,9,e0,79.17,1642,haute
2020-2024,2022,H,9,e60,22.5,1642,haute
2020-2024,2022,H,9,e65,18.62,1642,haute
2020-2024,2022,H,10,e0,79.75,1738,haute
2020-2024,2022,H,10,e60,22.87,1738,haute
2020-2024,2022,H,10,e65,18.91,1738,haute
2020-2024,2022,H,11,e0,80.29,1837,haute
2020-2024,2022,H,11,e60,23.21,1837,haute
2020-2024,2022,H,11,e65,19.16,1837,haute
2020-2024,2022,H,12,e0,80.8,1941,haute
2020-2024,2022,H,12,e60,23.52,1941,haute
2020-2024,2022,H,12,e65,19.4,1941,haute
2020-2024,2022,H,13,e0,81.28,2053,haute
2020-2024,2022,H,13,e60,23.82,2053,haute
2020-2024,2022,H,13,e65,19.63,2053,haute
2020-2024,2022,H,14,e0,81.75,2176,haute
2020-2024,2022,H,14,e60,24.12,2176,haute
2020-2024,2022,H,14,e65,19.87,2176,haute
2020-2024,2022,H,15,e0,82.21,2319,haute
2020-2024,2022,H,15,e60,24.43,2319,haute
2020-2024,2022,H,15,e65,20.12,2319,haute
2020-2024,2022,H,16,e0,82.67,2492,haute
2020-2024,2022,H,16,e60,24.75,2492,haute
2020-2024,2022,H,16,e65,20.39,2492,haute
2020-2024,2022,H,17,e0,83.14,2717,haute
2020-2024,2022,H,17,e60,25.11,2717,haute
2020-2024,2022,H,17,e65,20.7,2717,haute
2020-2024,2022,H,18,e0,83.67,3040,haute
2020-2024,2022,H,18,e60,25.53,3040,haute
2020-2024,2022,H,18,e65,21.07,3040,haute
2020-2024,2022,H,19,e0,84.26,3609,haute
2020-2024,2022,H,19,e60,26.02,3609,haute
2020-2024,2022,H,19,e65,21.52,3609,haute
2020-2024,2022,H,20,e0,84.95,6427,haute
2020-2024,2022,H,20,e60,26.6,6427,haute
2020-2024,2022,H,20,e65,22.05,6427,haute
